不知死活: 找死: 0.7420317530632019, 龜兒子: 0.7307313680648804, 你別: 0.7213346362113953, 沒用: 0.7188848853111267, 有夠: 0.7141056060791016, 欺負人: 0.7125212550163269, 不爽: 0.7123502492904663, 沒出息: 0.7088878154754639, 你連: 0.7088286876678467, 臉皮厚: 0.7074447870254517, 
惡棍: 死侍: 0.7833782434463501, 清大之恥: 0.6979491114616394, 冷血: 0.6831977367401123, 孤膽: 0.673554539680481, 黑寡婦: 0.6693543791770935, 夜魔俠: 0.6669002771377563, 狼人: 0.6642926931381226, 蜘蛛俠: 0.6637029647827148, 懲罰者: 0.6608682870864868, 壞蛋: 0.6553218364715576, 
試看看: 荷官會: 0.7575838565826416, ghem: 0.7564752101898193, 我排: 0.7542744874954224, obliquity: 0.7537697553634644, 邵伯祥: 0.7492913603782654, 冀熱邊: 0.7458018660545349, 康他: 0.7455824613571167, prestonia: 0.7454376816749573, 森義臣: 0.7451388835906982, demaret: 0.7437677383422852, 
自作孽: 信之情: 0.7408751249313354, 信之處: 0.7261225581169128, 信之理: 0.6739630699157715, 採等語: 0.6727009415626526, 採之: 0.6614292860031128, 採又: 0.6563463807106018, 理諭: 0.6562412977218628, 採之處: 0.6548741459846497, 信而: 0.6466873288154602, 款顯: 0.6350415945053101, 
舞女: 歌女: 0.8149656057357788, 老鴇: 0.752672553062439, 少奶奶: 0.7429904937744141, 歡場: 0.7358407378196716, 鴇母: 0.7342427968978882, 青樓: 0.7306124567985535, 風塵女子: 0.7280858159065247, 阿芳: 0.7237454652786255, 阿珍: 0.7219916582107544, 富家女: 0.7205901145935059, 
你老母: 屌你老母: 0.7360659837722778, 閪: 0.7049972414970398, 喎: 0.6919242143630981, 姦恁娘: 0.6846254467964172, 肏你媽: 0.6792418360710144, 我膊頭: 0.6730478405952454, 老拙: 0.6693127155303955, 毴: 0.6686533689498901, 我後叔: 0.6662062406539917, niau: 0.6656185388565063, 
娼妓: 性工作者: 0.7801967263221741, 賣淫: 0.7610108852386475, 妓女: 0.7523448467254639, 賤民: 0.7186203002929688, 賣身: 0.7040767669677734, 嫖客: 0.6914538741111755, 賣春: 0.6893103122711182, 嫖妓: 0.6876649856567383, 拐騙: 0.6833897233009338, 男妓: 0.6800494194030762, 
砸店: 債主: 0.6511561870574951, 持械: 0.6406034827232361, 打劫: 0.6364564299583435, 方慶昌: 0.63609778881073, 方立翔: 0.6248146295547485, 賣假藥: 0.6212481260299683, 攔路搶劫: 0.6186575293540955, 追債: 0.6157954931259155, 洪劍輝: 0.6101474761962891, 私吞: 0.6067578196525574, 
缺德鬼: 邱瑞姬: 0.8408862948417664, 缺德事: 0.8103491067886353, 胎哥郎: 0.8100342154502869, 與祥鵬: 0.808314323425293, 姚德祥: 0.8082437515258789, 周柏宏: 0.807368278503418, 好聲好氣: 0.8067467212677002, 在羅婉寧: 0.8065155744552612, 盛忠立: 0.8057214617729187, 賴武志: 0.8053807020187378, 
小: 很小: 0.536380410194397, 瓢蟲: 0.5297791957855225, 較大: 0.5105085372924805, 少: 0.5104365348815918, 淘氣: 0.5063190460205078, 小小: 0.48626041412353516, 貓: 0.48006922006607056, 低: 0.47507166862487793, 確幸: 0.4734582304954529, 幹物妹: 0.4733671545982361, 
打我啊: 喝喝: 0.6622673273086548, 講成: 0.6463555097579956, 沙豬: 0.6404101252555847, 蠢材: 0.6396814584732056, 整得: 0.6369118094444275, 蠢得: 0.6264818906784058, 不乖: 0.6231690645217896, 是我太: 0.6207824945449829, 一肚子: 0.6205699443817139, 愛講: 0.6179972887039185, 
王八蛋: 混蛋: 0.8411040902137756, 他媽的: 0.8094604015350342, 不要臉: 0.8015156984329224, 神經病: 0.784591555595398, 乙語: 0.7742663621902466, 俗辣: 0.7541248798370361, 瘋女人: 0.7525427341461182, 白癡: 0.749356746673584, 哭爸: 0.7477867603302002, 孬種: 0.7465486526489258, 
老糊塗: 奧貨: 0.6703290939331055, 斬釘截鐵: 0.6476749181747437, 囁嚅: 0.6466127634048462, 常說些: 0.6368529796600342, 沒家教: 0.6360761523246765, 並笑: 0.6342202425003052, 什潘: 0.6321924924850464, 無理取鬧: 0.6311516761779785, 媽是: 0.6297792196273804, 揩油: 0.6267120242118835, 
惡房東: 每旅: 0.7282689809799194, 吳家慶: 0.7120901346206665, 通興裡: 0.7087685465812683, hooperman: 0.7084782123565674, 萬麗君: 0.708315372467041, 紫芸: 0.7076534628868103, 周志道: 0.7070086002349854, 林婉如: 0.7062373161315918, 有後罩: 0.7044187784194946, 柯均蓁: 0.703895628452301, 
怪咖: 花痴: 0.6694411039352417, 帥哥: 0.6537322998046875, 自戀: 0.6410772800445557, 自閉: 0.6390888690948486, 女老師: 0.6352037191390991, 學生妹: 0.6350221037864685, 書呆子: 0.6334018111228943, 變態: 0.6323933601379395, 鄰座: 0.6309232711791992, 古靈精怪: 0.6254692077636719, 
查某人: 舊情綿綿: 0.7489149570465088, 張蓉蓉: 0.7387357354164124, 望你早歸: 0.7377783060073853, 葉勝欽: 0.7298612594604492, 戴梅君: 0.7224096059799194, 許富凱: 0.7215487957000732, 王識賢: 0.7208865880966187, 莊振凱: 0.7204474806785583, 阿母: 0.7196549773216248, 好個秋: 0.7195960283279419, 
低等動物: 形象化: 0.5604647994041443, 書籤: 0.5135904550552368, 表情符號: 0.501096785068512, 原色: 0.4958614110946655, 情榜: 0.4922625422477722, 瀏覽者: 0.49195611476898193, 關鍵字: 0.4864584803581238, 一顆顆: 0.48591873049736023, 雞形: 0.4853559732437134, 浮水印: 0.48369795083999634, 
膽小: 膽小怕事: 0.8786119818687439, 頭腦簡單: 0.8522576689720154, 好勝: 0.8469781875610352, 性急: 0.8430249691009521, 調皮: 0.8415796756744385, 心地善良: 0.8410804867744446, 沉默寡言: 0.8382957577705383, 不修邊幅: 0.8356962203979492, 懦弱: 0.834794282913208, 急躁: 0.8290369510650635, 
婊子: 賤貨: 0.8396777510643005, 破麻: 0.8273299932479858, 賤人: 0.8224295377731323, 丟人現眼: 0.812123715877533, 瘋女人: 0.8113952875137329, 孬種: 0.806347131729126, 客兄: 0.8044167160987854, 俗仔: 0.8027858734130859, 瘋查: 0.7994877099990845, 狗男女: 0.7994531393051147, 
爛貨: 賤貨: 0.7895220518112183, 爛人: 0.7863427400588989, 丟臉: 0.7472540140151978, 丟人現眼: 0.734055757522583, 破麻: 0.7195080518722534, 吃屎: 0.7135065793991089, 豬狗不如: 0.7111018896102905, 下三濫: 0.7070455551147461, 變態: 0.706344485282898, 腦殘: 0.698859691619873, 
狗官: 葉騏: 0.8001216650009155, 賴清: 0.7784606218338013, 求天: 0.7621018290519714, 沒良心: 0.718402624130249, 無法無天: 0.7029556035995483, 絕子絕孫: 0.6863479614257812, 鴨霸: 0.685771644115448, 不得好死: 0.6820396184921265, 惡質: 0.6814866662025452, 禽獸不如: 0.6810488700866699, 
