試試看: 給你死: 0.7207418084144592, 信不信: 0.6831360459327698, 好看: 0.6829029321670532, 恫以: 0.6795493960380554, 瞧: 0.6783065795898438, 放過: 0.6611596941947937, 斷手斷腳: 0.6531668305397034, 死定了: 0.6521551609039307, 槍開: 0.6500198841094971, 敢給: 0.6385015845298767, 
敗家子: 婊子: 0.7169356942176819, 跛腳: 0.7090150117874146, 客兄: 0.6980398893356323, 雜種: 0.6960705518722534, 沒出息: 0.6779099702835083, 狼心狗肺: 0.6764191389083862, 吃軟飯: 0.6714060306549072, 小白臉: 0.6712680459022522, 無業遊民: 0.6690137386322021, 婆: 0.6689224243164062, 
惡人先告狀: 痛罵: 0.6509565114974976, 說成: 0.6365612745285034, 誣賴: 0.6331593990325928, 誣衊: 0.6287909746170044, 撒謊: 0.6210171580314636, 中傷: 0.6176601648330688, 幫倒忙: 0.6143742799758911, 胡說八道: 0.6109143495559692, 假話: 0.6067253351211548, 歪曲事實: 0.5948991179466248, 
心理變態: 變態: 0.7490273714065552, 不知羞恥: 0.7318670749664307, 壞心: 0.7205743789672852, 沒教養: 0.7164403796195984, 齷齪: 0.7087999582290649, 丟人現眼: 0.7068719267845154, 拉屎: 0.7016423940658569, 奧客: 0.6966525912284851, 白目: 0.6960849165916443, 偷漢子: 0.6943386793136597, 
小不點: 狸貓: 0.6808681488037109, 呱呱: 0.6779166460037231, 蛋蛋: 0.6740944981575012, 白熊: 0.6630163788795471, 老爺爺: 0.6567274928092957, 小桃: 0.6557689905166626, 汪汪: 0.6509660482406616, 大嘴鳥: 0.6499269604682922, 老奶奶: 0.6494083404541016, 小兔: 0.6385773420333862, 
風塵女子: 青樓: 0.7450419068336487, 崔鶯鶯: 0.7415732741355896, 老鴇: 0.7333676815032959, 丫環: 0.7326321601867676, 名妓: 0.729752779006958, 小姨: 0.7261186242103577, 女鬼: 0.7253724336624146, 董永: 0.7237008213996887, 竇娥: 0.7220946550369263, 少奶奶: 0.7205235958099365, 
偽娘: 蘿莉控: 0.7415297627449036, 美少年: 0.7239763140678406, 傲嬌: 0.7153176069259644, 美型: 0.709968090057373, 貧乳: 0.6828640699386597, 妖艷: 0.6819249391555786, 平胸: 0.676771879196167, 兔女郎: 0.6732015609741211, 巨乳: 0.6726202368736267, 男扮女裝: 0.6722626090049744, 
爛鳥種: 彭文長: 0.9332193732261658, 結右: 0.9300113916397095, 葉淑文: 0.9293227791786194, 劉世興: 0.9278919696807861, 鄭文貴: 0.9268260598182678, 沈世健: 0.9255309104919434, 警林宏穎: 0.9250952005386353, 許力方: 0.9249112606048584, 洪韻雯: 0.9244397878646851, 張榮俊: 0.9241973161697388, 
侮辱: 污辱: 0.7716386318206787, 辱罵: 0.6778093576431274, 公然侮辱: 0.6675359010696411, 侮辱性: 0.6368985176086426, 辱: 0.636066198348999, 侮罵: 0.6260379552841187, 羞辱: 0.6181415319442749, 確堪認: 0.5915474891662598, 悔辱: 0.590528666973114, 關窗戶: 0.5891612768173218, 
白癡: 白痴: 0.7296546101570129, 孬種: 0.7227013111114502, 丟人現眼: 0.7183783650398254, 白目: 0.7104382514953613, 神經病: 0.7034194469451904, 笨蛋: 0.692315936088562, 瘋婆子: 0.6873071193695068, 比狗還: 0.6839497089385986, 混蛋: 0.6832965612411499, 肖仔: 0.6832926273345947, 
歹厝邊: 2619: 0.67628014087677, 包梅: 0.6682963371276855, 鄭虹: 0.6609940528869629, 徐彪: 0.6467015743255615, 施宗明: 0.6426793336868286, 孫繼民: 0.6390483975410461, 廖昀: 0.632716178894043, 兩夫: 0.6281026601791382, 5198: 0.6279847621917725, 6073: 0.6258571147918701, 
俗阿仔: 懂個: 0.6176114082336426, 配當: 0.6057374477386475, 鬼還: 0.5946683883666992, 再囂: 0.591332197189331, 何水立: 0.5855995416641235, 余母: 0.5848784446716309, 歪種: 0.5818902254104614, 不守道: 0.5813001394271851, 臢: 0.5811557769775391, 茅坑: 0.5764002203941345, 
吃軟飯: 禽獸不如: 0.7240951061248779, 丟人現眼: 0.7105288505554199, 比狗還: 0.7080538272857666, 縮頭烏龜: 0.7058396339416504, 雜碎: 0.7049291729927063, 癩蛤蟆: 0.7020938396453857, 豬狗不如: 0.7020721435546875, 沒出息: 0.6954449415206909, 吃大便: 0.6934303045272827, 沒良心: 0.6877443790435791, 
打死你: 高莉傑: 0.7176478505134583, 這好: 0.7082171440124512, 相畢露: 0.7062175273895264, 和蓓琪: 0.7003964185714722, 雜子: 0.695037841796875, 褲兒: 0.6889601945877075, 郭景志: 0.6842790842056274, 渾身發抖: 0.6842637658119202, 男說: 0.6834505796432495, 盛豹: 0.6821570992469788, 
髒東西: 不知廉恥: 0.7345404624938965, 狗屎: 0.7040888071060181, 蠢: 0.689523458480835, 厚臉皮: 0.6892738938331604, 拉屎: 0.6855208277702332, 笨: 0.6838901042938232, 嚼舌根: 0.6775524616241455, 禽獸不如: 0.6733747720718384, 可不是: 0.6714707612991333, 敢講: 0.6701532602310181, 
報仇: 詐死: 0.7752113342285156, 仇人: 0.7636144161224365, 殺掉: 0.7432331442832947, 殺父: 0.7388579845428467, 放走: 0.7386056184768677, 所救: 0.7333813309669495, 決一死戰: 0.7316069602966309, 勸服: 0.7306248545646667, 一命: 0.72884601354599, 誓要: 0.7278410196304321, 
好燙: 詩刊: 0.6529171466827393, 隨筆集: 0.6258736848831177, 祥傳社: 0.6241190433502197, 現代出版社: 0.6059615612030029, 交輝: 0.6022049188613892, 九歌: 0.6013450026512146, 圓神: 0.5996151566505432, 周淑屏: 0.5989885330200195, 君比: 0.5873008966445923, 舒樺: 0.5852632522583008, 
警員: 員警: 0.9637454152107239, 巡佐: 0.7083916664123535, 警察: 0.6561707854270935, 警方: 0.6127551794052124, 所長: 0.5978557467460632, 副所長: 0.5923284292221069, 值班員: 0.5839390754699707, 派出所: 0.5718011856079102, 執勤: 0.5677194595336914, 李仁傑: 0.5597572922706604, 
說誰: 何必如此: 0.7191616296768188, 務要: 0.7155250310897827, 彼非: 0.7091764211654663, 曾參殺人: 0.7029854655265808, 誇口: 0.7002138495445251, 治不好: 0.6992448568344116, 符公: 0.6984685659408569, 不求名: 0.6946582794189453, 誠惶誠恐: 0.6879745125770569, 別個: 0.6877008080482483, 
不仁不義: 其陷: 0.6098593473434448, 竟敢: 0.6024617552757263, 過河拆橋: 0.599931001663208, 恩將仇報: 0.5983819961547852, 卑鄙無恥: 0.596716046333313, 狼心狗肺: 0.5959560871124268, 不亂: 0.5853446125984192, 沒良心: 0.5783641338348389, 有夠: 0.5746205449104309, 誤人子弟: 0.5733559131622314, 
人妖: 淫蕩: 0.6271193027496338, 髒東西: 0.6262692213058472, 嘻嘻: 0.6257938146591187, 呆子: 0.6245226860046387, 賴皮: 0.6159847974777222, 嚼舌根: 0.6082541942596436, 老兄: 0.6073753833770752, 妖孽: 0.6015537977218628, 藍士恒: 0.6013311147689819, 耗子: 0.5961220264434814, 
警察打人: 許源崎: 0.6028202772140503, 0243: 0.5983223915100098, 爭勞權: 0.5979340076446533, 鎮暴部隊: 0.5796492099761963, 罷崗: 0.573408305644989, 宋先: 0.5728987455368042, 誘供: 0.5707880854606628, 遭陳儀: 0.569061815738678, 滋事份子: 0.5689498782157898, 左派份子: 0.5601561069488525, 
爭權奪利: 專權: 0.8070997595787048, 猜忌: 0.8063090443611145, 爭權: 0.796546220779419, 傾軋: 0.7833765149116516, 朋黨: 0.7733480334281921, 昏庸: 0.7690143585205078, 剛愎自用: 0.7678382396697998, 得勢: 0.7620066404342651, 奸佞: 0.7606861591339111, 驕橫: 0.7592920660972595, 
懶爛: 白目: 0.721354603767395, 機八: 0.7141427993774414, 幹娘: 0.7082312703132629, 屌: 0.7062498331069946, 臭機巴: 0.6892739534378052, 對丙罵: 0.6841611862182617, 卡好: 0.6839345097541809, 講三小: 0.6810391545295715, 囂俳: 0.6800901889801025, 幹及: 0.6767022609710693, 
貪財: 心狠手辣: 0.8478124737739563, 勢利: 0.8454819917678833, 陰險: 0.8252138495445251, 狡詐: 0.8159561157226562, 吝嗇: 0.8132627010345459, 狠毒: 0.8074797987937927, 膽小怕事: 0.8046371936798096, 心胸狹窄: 0.7980709671974182, 如命: 0.797084391117096, 看不起: 0.7938933372497559, 
推三小: 幹娘: 0.7804073095321655, 看三小: 0.7401161789894104, 卒子: 0.7097268104553223, 哭爸: 0.7094383239746094, 孬種: 0.6914104223251343, 嬰仔屁: 0.688823938369751, 三小: 0.6880831122398376, 他媽的: 0.6839869022369385, 比狗還: 0.6751257181167603, 衝啥: 0.6731466054916382, 
下賤: 不知羞恥: 0.6667829155921936, 偷漢子: 0.6426115036010742, 性無能: 0.6299214363098145, 心理變態: 0.6294034719467163, 齷齪: 0.6293950080871582, 縮頭烏龜: 0.6255592107772827, 賤貨: 0.6156269311904907, 下三濫: 0.6108249425888062, 犯賤: 0.6088120341300964, 她媽: 0.6085521578788757, 
偽君子: 貪財: 0.7681884169578552, 迂腐: 0.7562608122825623, 自私自利: 0.7556580305099487, 憤世嫉俗: 0.7474642395973206, 不忠: 0.7465263605117798, 陰險: 0.7423579692840576, 心胸狹窄: 0.7421343326568604, 欺善怕惡: 0.7418925762176514, 玩世不恭: 0.741463303565979, 勢利: 0.7397444248199463, 
衰小: 還喊: 0.7521384954452515, 賺吃查: 0.7061873078346252, 敢告: 0.6971200704574585, 臭屁: 0.6793280839920044, 拍謝: 0.6781141757965088, 知不知道: 0.6758657097816467, 好膽: 0.6711850762367249, 擱: 0.6646358370780945, 你別: 0.6634474992752075, 大肚子: 0.659841001033783, 
騙: 騙錢: 0.7818019390106201, 亂搞: 0.6805785298347473, 騙色: 0.6611827611923218, 倒貼: 0.6574647426605225, 招搖撞騙: 0.6559031009674072, 欺騙: 0.6440436840057373, 還敢: 0.6414644718170166, 被騙: 0.6342945098876953, 騙財: 0.6299285888671875, 騙人: 0.6233460307121277, 
你在哭: 傅珮嘉: 0.5985521078109741, 彭家麗: 0.5919055938720703, myar: 0.5888427495956421, 愛了: 0.5846447944641113, 陳曉東: 0.5838533639907837, 似曾相識: 0.5812676548957825, 甄楚倩: 0.5769976377487183, 郭小霖: 0.57566899061203, 記不起: 0.5704199075698853, 陳潔儀: 0.5676092505455017, 
警察: 警方: 0.7403361797332764, 員警: 0.6979291439056396, 警員: 0.6561708450317383, 女警: 0.5970655679702759, 開罰單: 0.5851709842681885, 銬起來: 0.576423704624176, 許展銘: 0.5674881339073181, 鎮暴: 0.5535906553268433, 執法人員: 0.5423762798309326, 警官: 0.532990038394928, 
喝: 喝完: 0.7879114151000977, 喝啤酒: 0.7654571533203125, 喝過: 0.7628883123397827, 喝到: 0.7331980466842651, 喝一杯: 0.7328828573226929, 兩瓶: 0.7241700291633606, 伊喝: 0.7176758050918579, 喝得: 0.7172701358795166, 共飲: 0.7162148952484131, 喝點: 0.7051291465759277, 
打手槍: 咬掉: 0.6004788279533386, 矇住: 0.567816972732544, 舔: 0.5508675575256348, 割掉: 0.5444847941398621, 嘴巴: 0.5325495004653931, 咬破: 0.5294400453567505, 閉著: 0.5254820585250854, 拉進去: 0.5251228213310242, 流眼淚: 0.5216705203056335, 鼻子: 0.5211610198020935, 
密醫: 醫德: 0.6047987937927246, 女醫生: 0.5996106863021851, 精神科: 0.5736327767372131, 腦科: 0.5735973119735718, 騙錢: 0.5659247040748596, 方保芳: 0.5574111342430115, 主治醫生: 0.5570511817932129, 小兒科: 0.5535634756088257, 整形外科: 0.5517308712005615, 牙醫: 0.5504428148269653, 
查某人: 舊情綿綿: 0.7489149570465088, 張蓉蓉: 0.7387357354164124, 望你早歸: 0.7377783060073853, 葉勝欽: 0.7298612594604492, 戴梅君: 0.7224096059799194, 許富凱: 0.7215487957000732, 莊振凱: 0.7204474806785583, 王識賢: 0.7203073501586914, 好個秋: 0.7195960283279419, 高向鵬: 0.7180523872375488, 
去你的: 活該: 0.5788216590881348, 痛快: 0.5621938705444336, 生生世世: 0.5607615113258362, 踨: 0.559672474861145, 愛逝: 0.5587830543518066, 忘不了: 0.5587759613990784, 做夥: 0.5573351383209229, 祙: 0.550366222858429, 總有: 0.5491272211074829, 多愛我: 0.5441979169845581, 
灌腸: 雞血: 0.7466446757316589, 外用: 0.7460218667984009, 催吐: 0.7450632452964783, 補血: 0.7422236204147339, 消炎藥: 0.7397395372390747, 殺菌: 0.735706627368927, 放血: 0.7325948476791382, 食醋: 0.7283904552459717, 消炎: 0.7272069454193115, 瀉藥: 0.7265254259109497, 
高爾夫世界: 單人滑: 0.6520645618438721, 團體冠軍: 0.6005188226699829, 網壇: 0.597989559173584, 國際乒聯: 0.5888307094573975, 悉尼奧運會: 0.5884233713150024, 世界排名: 0.5807678699493408, 排球賽: 0.5795209407806396, 亞特蘭大奧運會: 0.5629584789276123, 號球: 0.5582841038703918, fivb: 0.5555838346481323, 
出來打: 逢賭必輸: 0.6259905099868774, 任晨文: 0.618413507938385, 豆腐湯: 0.6156752109527588, 坎牌: 0.602607250213623, 亨生: 0.5981776714324951, 身纏: 0.597785234451294, 老鞏: 0.5966367721557617, 則喊: 0.5914769768714905, 初生之犢不畏虎: 0.5913686156272888, 刀七人眾: 0.5907532572746277, 
媽寶: 靠媽: 0.6774420738220215, 沒教養: 0.6349357962608337, 不像樣: 0.6309472322463989, 笨: 0.6274657249450684, 婊: 0.6221123933792114, 屁孩: 0.6160472631454468, 敗家子: 0.6146072149276733, 娘娘腔: 0.6117468476295471, 細姨: 0.6110361218452454, 雜種: 0.6008527278900146, 
